Percentage served,Time in ms
0,60.941
1,78.475
2,89.551
3,97.424
4,101.542
5,103.086
6,105.504
7,106.790
8,107.913
9,108.645
10,109.608
11,110.183
12,111.122
13,112.529
14,113.624
15,114.371
16,116.045
17,116.712
18,118.079
19,118.582
20,119.308
21,119.567
22,120.336
23,121.252
24,121.753
25,122.188
26,122.634
27,123.044
28,123.444
29,123.894
30,124.361
31,124.682
32,125.006
33,125.458
34,125.900
35,126.311
36,126.681
37,127.290
38,127.795
39,128.646
40,129.314
41,129.927
42,130.152
43,130.806
44,131.644
45,132.184
46,132.747
47,133.140
48,133.590
49,134.423
50,134.751
51,135.449
52,136.260
53,136.924
54,137.542
55,138.067
56,138.732
57,139.236
58,139.709
59,140.186
60,140.525
61,140.890
62,141.273
63,141.780
64,142.335
65,142.830
66,143.218
67,143.791
68,144.557
69,145.338
70,145.909
71,147.074
72,148.551
73,149.536
74,150.172
75,151.112
76,152.374
77,153.096
78,154.348
79,154.947
80,155.977
81,156.619
82,157.721
83,158.111
84,159.727
85,161.808
86,164.448
87,168.349
88,170.915
89,172.746
90,175.706
91,184.313
92,187.364
93,193.968
94,206.739
95,215.590
96,233.134
97,256.855
98,282.204
99,418.307
